id,min,mean,median,max
2,79.9624878672864,81.40069382080632,81.19224578663814,86.73146250084781
3,79.9624878672864,84.49507321213369,83.35396831949659,94.35673388906194
4,79.9624878672864,85.57389612740822,85.00475708599109,96.27186419639403
5,79.9624878672864,87.95609189236555,89.74176602788765,96.27186419639403
6,79.9624878672864,83.65941821102312,81.83872817814256,92.72856648293546
7,79.9624878672864,83.8375276138836,81.78109536001611,94.35673388906194
8,79.98576491439886,83.76314084437082,81.4926714770904,94.35673388906194
9,79.9624878672864,85.24477036695019,86.1237912031083,94.35673388906194
10,79.9624878672864,83.9816340678357,81.91938401757663,95.30581313436538
12,79.9624878672864,83.62794090103289,81.60809360628977,94.6591995115033
13,79.9624878672864,85.9626194022857,88.25354796822634,94.35673388906194
14,79.9624878672864,85.52778899048403,87.60587406088457,94.35673388906194
15,79.9624878672864,83.69235104552124,81.4926714770904,94.35673388906194
16,79.9624878672864,85.09761566037113,84.67572952480776,95.2412450862445
17,79.9624878672864,86.13550206168803,88.49865775734762,95.9718095034386
18,79.9624878672864,86.63884820590185,88.25354796822634,98.25390071429742
19,79.9624878672864,86.31837144695778,87.314839072517,96.76384809005967
20,79.98576491439886,85.05733398915513,82.52896293380152,96.14332380853806
22,79.98576491439886,83.19691820801442,81.40028334015533,93.4900262701861
23,79.9624878672864,83.62907051972374,81.60809360628977,94.35673388906194
24,79.9624878672864,85.06049768734735,83.21671395625634,95.92890819054799
25,79.9624878672864,83.21965472294015,81.30785030699266,93.27276218403982
26,79.9624878672864,86.43739546560671,88.14203293982067,98.23269081098432
27,79.9624878672864,85.15781097220272,84.36888751832123,94.14040785688772
28,79.98576491439886,86.60535829246017,89.05458871278431,96.27186419639403
29,79.9624878672864,85.488573946382,88.05277514957594,94.35673388906194
30,79.98576491439886,85.42674481400059,87.42682697615406,95.47789360578358
32,79.9624878672864,83.88720610693738,82.18415760079382,92.6631632032933
33,79.9624878672864,85.2671710352892,87.91881206213753,93.85883491846354
34,79.9624878672864,85.30490423923268,86.77639972047743,94.35673388906194
35,79.9624878672864,85.08130478626958,83.74232332644019,96.27186419639403
36,79.9624878672864,85.30055829609407,85.22002386036758,93.9455148587544
37,79.9624878672864,85.48644013639318,86.75393240789582,96.14332380853806
38,79.9624878672864,87.07696387003506,88.75458129978936,97.29726348154762
39,79.9624878672864,85.9474696146894,87.76240570517896,95.993256747
40,79.9624878672864,86.10114792219764,87.9858050747819,98.23269081098432
43,79.9624878672864,83.74587060260134,81.59655419268617,94.35673388906194
44,79.98576491439886,85.09391009094342,84.40300550825418,94.35673388906194
45,79.9624878672864,85.4467166216527,83.07936124479241,95.9718095034386
46,79.98576491439886,83.47393802474288,81.83872817814256,94.35673388906194
47,79.9624878672864,85.80678079777431,88.0974091337969,96.2290264696372
48,79.9624878672864,84.02306960392174,81.19224578663814,91.3066628735061
49,79.9624878672864,85.4057064407754,82.25316849298586,96.27186419639403
50,79.9624878672864,84.63427563406788,81.93090389262527,94.35673388906194
51,79.9624878672864,85.25442384537268,86.360333378234,95.47789360578358
53,79.9624878672864,85.15341852535128,85.27663011658245,94.35673388906194
54,79.9624878672864,85.63857845587764,87.91881206213753,94.35673388906194
55,79.9624878672864,86.24560273692191,88.49865775734762,94.35673388906194
56,79.9624878672864,85.16645557392053,83.42255732061318,95.9718095034386
57,79.9624878672864,85.69489128673513,87.94114561637116,94.35673388906194
58,79.9624878672864,85.28266134342284,85.1747245319784,96.61424023602913
59,79.9624878672864,85.21427125083524,87.24761545526852,91.52608036766162
60,79.9624878672864,85.6812193236823,87.51637104643164,95.30581313436538
61,79.9624878672864,85.56168094003286,87.74005171896586,97.51023823538563
63,79.9624878672864,82.63603633637595,81.26161693513788,94.35673388906194
64,79.9624878672864,84.61024760149908,81.53884872862923,95.92890819054799
65,79.98576491439886,84.5792964560089,81.83872817814256,95.84307824253041
66,79.9624878672864,83.7317954598367,81.37717929328285,94.35673388906194
67,79.9624878672864,85.2889921516782,87.27002590255304,95.30581313436538
68,79.9624878672864,82.42854918213148,80.91450761243432,92.88109081847023
69,79.9624878672864,82.78779136723136,80.89134441695964,95.92890819054799
70,79.98576491439886,86.09105676889848,88.36499952595136,94.35673388906194
71,79.9624878672864,82.26829204252249,80.75230583826195,89.47604649930867
72,79.98576491439886,85.55944925535292,87.9858050747819,89.58680654604288
73,79.98576491439886,84.75875893170586,83.10226020153034,94.35673388906194
74,79.9624878672864,85.82081485901337,88.11972230867399,94.35673388906194
75,79.98576491439886,84.66702369919172,81.72344580028226,95.84307824253041
76,79.98576491439886,85.91376117637881,88.23125004346431,94.35673388906194
77,79.9624878672864,83.78973641222063,81.16911644243025,94.44319909868904
78,79.9624878672864,83.02710947261014,80.93766798164769,95.92890819054799
79,79.9624878672864,83.56668851329422,81.00713214141152,90.18383735197699
80,79.9624878672864,83.2178346459555,80.99555619328959,94.16205095305587
